,user,text,favorite_count,retweet_count,created_at
0,narendramodi,"Pained by the passing away of Shri Anand Mamani, the Deputy Speaker of the Karnataka Assembly. He was a formidable leader who worked extensively for social empowerment. He also worked to strengthen BJP across Karnataka. Condolences to his family and supporters. Om Shanti.",2073,467,2022-10-23 05:26:05+00:00
1,narendramodi,Congratulations @NSIL_India @INSPACeIND @ISRO on the successful launch of our heaviest launch vehicle LVM3 with 36 OneWeb satellites meant for global connectivity. LVM3 exemplifies Atmanirbharta &amp; enhances India’s competitive edge in the global commercial launch service market.,7649,1945,2022-10-23 04:02:43+00:00
2,narendramodi,"अभी जब मैं उत्तराखंड गया तो सीमावर्ती गांव के अपने आदिवासी भाई-बहनों से भी मिला। वहां मुझे एक महिला सरपंच ने विशेष भोजपत्र भेंट किया, जिसमें उकेरी गई उनकी भावनाएं अभिभूत करने वाली हैं। https://t.co/SlPFtEChOW",23220,5007,2022-10-22 15:58:43+00:00
3,narendramodi,देशवासियों की आकांक्षाओं को पूरा करने के साथ ही हमारी सरकार का लक्ष्य यह भी है कि गरीब और मध्यम वर्ग के पैसे बचें। https://t.co/X7vO6bJczx,5717,1925,2022-10-22 15:33:38+00:00
4,narendramodi,पहले की सरकारों और हमारी सरकार में एक बहुत बड़ा फर्क है… https://t.co/ByUAYoplom,7354,2336,2022-10-22 15:33:10+00:00
5,narendramodi,आज टैक्सपेयर्स को इस बात का संतोष है कि उनका पैसा सही जगह खर्च हो रहा है और देश की सेवा में काम आ रहा है। https://t.co/5Ph79QKtm9,6406,2076,2022-10-22 15:32:42+00:00
6,narendramodi,धनतेरस का पावन अवसर आज मध्य प्रदेश के लाखों लोगों के लिए गृहप्रवेश का शुभ मुहूर्त लेकर आया। यह मेरा सौभाग्य है कि उनकी खुशी के इस पल का मैं भी साक्षी बना। https://t.co/wCIPJxREwC,6525,1887,2022-10-22 15:31:24+00:00
7,narendramodi,"Dhanteras also has a close association with health and wellness. In the recent years, India’s traditional medicines and Yoga have drawn global attention. I laud those working in these fields. Sharing my speech at the recent Global Ayush Summit. https://t.co/iHgBFEFr5M",8973,2504,2022-10-22 13:04:56+00:00
8,narendramodi,Greetings on the auspicious occasion of Dhanteras. May the people of our nation be blessed with abundance of good health and prosperity. May the spirit of wealth creation keep blossoming in our society.,28709,5100,2022-10-22 13:04:05+00:00
9,narendramodi,ਮੈਂ ਉਨ੍ਹਾਂ ਦੇ ਪਿਆਰ ਭਰੇ ਸ਼ਬਦਾਂ ਲਈ ਉਨ੍ਹਾਂ ਦਾ ਦਿਲੋਂ ਧੰਨਵਾਦ ਕਰਦਾ ਹਾਂ ਅਤੇ ਸੰਗਤ ਨੂੰ ਭਰੋਸਾ ਦਿਵਾਉਂਦਾ ਹਾਂ ਕਿ ਅਸੀਂ ਗੁਰੂ ਸਾਹਿਬਾਨ ਦੇ ਦਰਸ਼ਨ-ਅਭਿਲਾਸ਼ੀ ਸੰਗਤਾਂ ਦੀ ਇੱਛਾ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਨਿਰੰਤਰ ਕਾਰਜ ਕਰਦੇ ਰਹਾਂਗੇ।,2457,706,2022-10-22 12:01:38+00:00
